PC_NAME,AC_NAME,Shape_Area,ST_CODE,NAME_HI,OBJECTID,ST_NAME,Shape_Leng,DT_CODE,DIST_NAME,PC_NO,PC_ID,MS_FB_PARE,ISO 3166-2,WIKIDATA,STATUS,MS_FB,AC_NO,NAME_TE
VISAKHAPATNAM,Srungavarapukota,0.055554518310000,28,,21,ANDHRA PRADESH,1.951988611110000,12,VIZIANAGARAM,21,2821,country:in/state:ap,AP,Q7586581,,country:in/state:ap/assembly-constituency:138,138,శృంగవరపుకోట శాసనసభా నియోజకవర్గం
VIZIANAGARAM,Vizianagaram,0.011071658070000,28,,20,ANDHRA PRADESH,0.589676249710000,12,VIZIANAGARAM,20,2820,country:in/state:ap,AP,Q7938016,,country:in/state:ap/assembly-constituency:137,137,విజయనగరం శాసనసభా నియోజకవర్గం
VIZIANAGARAM,Nellimarla,0.045839180760000,28,,20,ANDHRA PRADESH,1.368049928590000,12,VIZIANAGARAM,20,2820,country:in/state:ap,AP,Q6990177,,country:in/state:ap/assembly-constituency:136,136,
ANAKAPALLE,Narsipatnam,0.065546082590000,28,,22,ANDHRA PRADESH,2.085885864880000,13,VISAKHAPATNAM,22,2822,country:in/state:ap,AP,Q6966393,,country:in/state:ap/assembly-constituency:153,153,
VISAKHAPATNAM,Visakhapatnam North,0.001610433680000,28,,21,ANDHRA PRADESH,0.213525929260000,13,VISAKHAPATNAM,21,2821,country:in/state:ap,AP,Q7935584,,country:in/state:ap/assembly-constituency:142,142,ఉత్తర విశాఖపట్నం శాసనసభ నియోజకవర్గం
ANAKAPALLE,Anakapalle,0.026669738100000,28,,22,ANDHRA PRADESH,0.910341702020000,13,VISAKHAPATNAM,22,2822,country:in/state:ap,AP,Q4750966,,country:in/state:ap/assembly-constituency:149,149,
ANAKAPALLE,Chodavaram,0.054191242070000,28,,22,ANDHRA PRADESH,1.469190010210000,13,VISAKHAPATNAM,22,2822,country:in/state:ap,AP,Q5103764,,country:in/state:ap/assembly-constituency:145,145,చోడవరం శాసనసభ నియోజకవర్గం
ANAKAPALLE,Pendurthi,0.046224098330000,28,,22,ANDHRA PRADESH,1.635013761390000,13,VISAKHAPATNAM,22,2822,country:in/state:ap,AP,Q7162535,,country:in/state:ap/assembly-constituency:150,150,
ARAKU (ST),Rampachodavaram,0.341922334550000,28,,18,ANDHRA PRADESH,3.776642581380000,14,EAST GODAVARI,18,2818,country:in/state:ap,AP,Q7289992,,country:in/state:ap/assembly-constituency:172,172,రంపచోడవరం శాసనసభ నియోజకవర్గం
ANAKAPALLE,Payakaraopet (SC),0.063074947430000,28,,22,ANDHRA PRADESH,1.627726296290000,13,VISAKHAPATNAM,22,2822,country:in/state:ap,AP,Q7156645,,country:in/state:ap/assembly-constituency:152,152,
