OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
1,22,CHHATTISGARH,2,SURGUJA,7,Ramanujganj (ST),Q55339189,1,SURGUJA (ST),2201,,3.0669900473,0.20571156972,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:7,
1,22,CHHATTISGARH,2,SURGUJA,6,Pratappur (ST),Q55339188,1,SURGUJA (ST),2201,,3.55202362379,0.24024908715,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:6,
4,22,CHHATTISGARH,1,KORIYA *,1,Bharatpur-Sonhat (S,Q55339183,4,KORBA,2204,,4.14473066898,0.41950564015,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:1,
1,22,CHHATTISGARH,2,SURGUJA,5,Bhatgaon,Q55339186,1,SURGUJA (ST),2201,,3.74654049621,0.2380582331,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:5,
1,22,CHHATTISGARH,2,SURGUJA,8,Samri (ST),Q55339190,1,SURGUJA (ST),2201,,3.80220517133,0.23189088696,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:8,
4,22,CHHATTISGARH,1,KORIYA *,3,Baikunthpur,Q16837064,4,KORBA,2204,,1.76001481413,0.09727089338,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:3,
1,22,CHHATTISGARH,2,SURGUJA,4,Premnagar,Q55339185,1,SURGUJA (ST),2201,,2.28098363127,0.13235092506,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:4,
1,22,CHHATTISGARH,2,SURGUJA,9,Lundra (ST),Q55339191,1,SURGUJA (ST),2201,,3.06833361012,0.10789515832,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:9,
4,22,CHHATTISGARH,1,KORIYA *,2,Manendragarh,Q55339184,4,KORBA,2204,,1.43545135046,0.06690004724,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:2,
2,22,CHHATTISGARH,3,JASHPUR *,12,Jashpur (ST),Q55339195,2,RAIGARH (ST),2202,,3.23977677641,0.22877796745,country:in/state:ct,CT,country:in/state:ct/assembly-constituency:12,
